error,failedPages,itemIndex,itemValue,page,pageStatus,pageUrl,successfulPages,timestamp,totalPages,type
,,,,,,,4,2025-06-28T18:37:35.909Z,4,summary
,,1,/vitron-htc3200s-32-smart-frameless-android-led-tv-with-bluetooth-1yr-wrty-261943073.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,2,/vitron-v527-2.1-ch-multimedia-speaker-btusbsdfm-9000w-1yr-wrty-25642251.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,3,/amtec-32r1s-32-inch-smart-android-frameless-led-tv-with-bluetooth-1yr-wrty.-55149292.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,4,/rashnik-tv-wall-mount-tv-stand-for-14-42-179310321.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,5,/vitron-htc4388fs-43-smart-android-frameless-tv-black-1yr-wrty-93348943.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,6,/lyons-lst4304w-43inch-smart-android-frameless-2k-full-hd-tv-bluetooth1yr-wrty-309559272.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,7,/amtec-43l12-43-fhd-smart-android-frameless-tv-netfix-youtube-bluetooth-black-1yr-wrty-55192249.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,8,/vitron-v400-2.1ch-bluetooth-speaker-system-185651933.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,9,/vitron-htc4388fs-43inch-full-hd-frameless-bluetooth-enabled-smartandroid-tv-inbuiltdecoder1-year-warrantytvguardbracket-48093030.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,10,/vision-plus-32-fhd-android-tv-free-wall-mount-2-year-wrnty-125899141.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,11,/vision-plus-vp8832df-32-digital-hd-frameless-tv-dvbt2s2-black-2yrs-wrty-125899150.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,12,/tcl-43s5400-s-series-43-full-hd-smart-tv-black-161752803.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,13,/vision-plus-43-fhd-android-tv-free-wall-mount-2-year-wrnty-125899257.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,14,/vitron-4068fs-40-smart-android-tv-netflix-youtube-black-1yr-wrty-43686321.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,15,/vision-plus-50-4k-frameless-netflix-official-smart-content-tv-free-wall-mount2yrs-wrty-125899163.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,16,/vision-plus-vp8855kv-55-4k-frameless-v-os-smart-tv-125899155.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,17,/vitron-htc3200s-32-inches-bluetooth-connectivity-tv-smart-android-television-with-inbuilt-wi-fi-connectivity-inbuilt-decoder-netflix-youtube-app-store-gifts-1-year-warranty-266795498.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,18,/lyons-lys3602-3.1ch-multimedia-speaker-system-home-theatrer-subwoofer-with-bt1yr-wrty-305727631.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,19,/amtec-am-02-2.1ch-multimedia-speaker-btusbsdfm-1yr-wrty-153762332.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,20,/lyons-lys2403-2.1ch-multimedia-speaker-system-home-theatrer-subwoofer-with-bt1yr-wrty-305727607.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,21,/tv-guarddvd-guard-13a-amaze-mpg327005.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
,,22,/istanbul-2-modern-tv-stand-with-led-lights-generic-mpg2752357.html,2,success,https://www.jumia.co.ke/electronics?page2,,,,data
