error,failedPages,itemIndex,itemValue,page,pageStatus,pageUrl,successfulPages,timestamp,totalPages,type
,,,,,,,4,2025-06-29T13:28:11.007Z,4,summary
,,1,/power-king-best-4-way-power-extension-with-long-cable-white-25619854.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,2,/power-king-best-4-way-power-extension-with-long-cable-power-extenson-white-300768959.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,3,/ailyons-lst4306w-43-inch-smart-android-full-hd-tv-frameless-black-1yr-wrty-264454061.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,4,/globalstar-32uk64-32inch-smart-android-tv-netflix-youtube-black-306989505.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,5,/3200s32-inch-smart-android-tvnetflixyoutube-appstorefree-extensionbracket-vitron-mpg1662667.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,6,/heavy-duty-for-ironing-water-heating-and-electonics-4-way-extension-cable-white-generic-mpg116745.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,7,/generic-tv-box-mxq-pro-4k-android-12-wifi-18-150398881.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,8,/home-design-rotating-14-55-full-motion-swivel-tv-bracket-33213285.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,9,/tv-guard-or-fridge-guard-13amps-generic-mpg7614129.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,10,/generic-istanbul-modern-tv-stand-with-led-lights-111914052.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,11,/ailyons-let3208w-32-fhd-frameless-digital-led-tv-inbuilt-decoder-dvb-t2s2-usb-hdmi-vga-black-1yr-wrty-179403644.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,12,/nobel-5.1-ch-top-bass-home-theatre-systemusbradio-22000w-213433520.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
,,13,/vitron-htc3200s32inch-bluetooth-enabled-frameless-smart-android-tv-netflix-youtube-inbuilt-decoder-app-store-1-year-warranty-152740260.html,2,success,https://www.jumia.co.ke/electronics?page=2,,,,data
